segment,start(s),end(s),bitrate(bps),bitrate(kbps),bitrate_norm
671,6.7,6.71,3637716,3637.716,1.685
672,6.71,6.72,3637716,3637.716,1.685
673,6.72,6.73,3637716,3637.716,1.685
674,6.73,6.74,1898871,1898.871,0.879
675,6.74,6.75,1029579,1029.579,0.477
676,6.75,6.76,1029579,1029.579,0.477
677,6.76,6.77,1837917,1837.917,0.851
678,6.77,6.78,3454835,3454.835,1.6
679,6.78,6.79,3454835,3454.835,1.6
680,6.79,6.8,3454835,3454.835,1.6
681,6.8,6.81,785288,785.288,0.364
682,6.81,6.82,785288,785.288,0.364
683,6.82,6.83,785288,785.288,0.364
684,6.83,6.84,2242436,2242.436,1.038
685,6.84,6.85,2970901,2970.901,1.376
686,6.85,6.86,2970901,2970.901,1.376
687,6.86,6.87,2342107,2342.107,1.085
688,6.87,6.88,1084331,1084.331,0.502
689,6.88,6.89,1084331,1084.331,0.502
690,6.89,6.9,1084331,1084.331,0.502
691,6.9,6.91,3172112,3172.112,1.469
692,6.91,6.92,3172112,3172.112,1.469
693,6.92,6.93,3172112,3172.112,1.469
694,6.93,6.94,1619362,1619.362,0.75
695,6.94,6.95,843103,843.103,0.39
696,6.95,6.96,843103,843.103,0.39
697,6.96,6.97,1530090,1530.090,0.709
698,6.97,6.98,2904269,2904.269,1.345
699,6.98,6.99,2904269,2904.269,1.345
700,6.99,7.0,2904269,2904.269,1.345
701,7.0,7.01,1368974,1368.974,0.634
702,7.01,7.02,1368974,1368.974,0.634
703,7.02,7.03,1368974,1368.974,0.634
704,7.03,7.04,2168810,2168.810,1.004
705,7.04,7.05,2568669,2568.669,1.189
706,7.05,7.06,2568669,2568.669,1.189
707,7.06,7.07,2245603,2245.603,1.04
708,7.07,7.08,1599376,1599.376,0.741
709,7.08,7.09,1599376,1599.376,0.741
710,7.09,7.1,1599376,1599.376,0.741
711,7.1,7.11,2669307,2669.307,1.236
712,7.11,7.12,2669307,2669.307,1.236
713,7.12,7.13,2669307,2669.307,1.236
714,7.13,7.14,1861709,1861.709,0.862
715,7.14,7.15,1457971,1457.971,0.675
716,7.15,7.16,1457971,1457.971,0.675
717,7.16,7.17,2177841,2177.841,1.009
718,7.17,7.18,3617796,3617.796,1.675
719,7.18,7.19,3617796,3617.796,1.675
720,7.19,7.2,3617796,3617.796,1.675
721,7.2,7.21,1236732,1236.732,0.573
722,7.21,7.22,1236732,1236.732,0.573
723,7.22,7.23,1236732,1236.732,0.573
724,7.23,7.24,3032602,3032.602,1.404
725,7.24,7.25,3930401,3930.401,1.82
726,7.25,7.26,3930401,3930.401,1.82
727,7.26,7.27,2995805,2995.805,1.387
728,7.27,7.28,1126331,1126.331,0.522
729,7.28,7.29,1126331,1126.331,0.522
730,7.29,7.3,1126331,1126.331,0.522
731,7.3,7.31,4356044,4356.044,2.017
732,7.31,7.32,4356044,4356.044,2.017
733,7.32,7.33,4356044,4356.044,2.017
734,7.33,7.34,2105969,2105.969,0.975
735,7.34,7.35,981100,981.100,0.454
736,7.35,7.36,981100,981.100,0.454
737,7.36,7.37,1869110,1869.110,0.866
738,7.37,7.38,3645396,3645.396,1.688
739,7.38,7.39,3645396,3645.396,1.688
740,7.39,7.4,3645396,3645.396,1.688
741,7.4,7.41,1154172,1154.172,0.534
742,7.41,7.42,1154172,1154.172,0.534
743,7.42,7.43,1154172,1154.172,0.534
744,7.43,7.44,2886040,2886.040,1.336
745,7.44,7.45,3751845,3751.845,1.737
746,7.45,7.46,3751845,3751.845,1.737
747,7.46,7.47,2788369,2788.369,1.291
748,7.47,7.48,861129,861.129,0.399
749,7.48,7.49,861129,861.129,0.399
750,7.49,7.5,861129,861.129,0.399
751,7.5,7.51,3458435,3458.435,1.602
752,7.51,7.52,3458435,3458.435,1.602
753,7.52,7.53,3458435,3458.435,1.602
754,7.53,7.54,1878158,1878.158,0.87
755,7.54,7.55,1088138,1088.138,0.504
756,7.55,7.56,1088138,1088.138,0.504
757,7.56,7.57,1814084,1814.084,0.84
758,7.57,7.58,3266193,3266.193,1.513
759,7.58,7.59,3266193,3266.193,1.513
760,7.59,7.6,3266193,3266.193,1.513
761,7.6,7.61,800168,800.168,0.371
762,7.61,7.62,800168,800.168,0.371
763,7.62,7.63,800168,800.168,0.371
764,7.63,7.64,2451882,2451.882,1.135
765,7.64,7.65,3277614,3277.614,1.518
766,7.65,7.66,3277614,3277.614,1.518
767,7.66,7.67,2504597,2504.597,1.16
768,7.67,7.68,958330,958.330,0.444
769,7.68,7.69,958330,958.330,0.444
770,7.69,7.7,958330,958.330,0.444
771,7.7,7.71,3077551,3077.551,1.425
772,7.71,7.72,3077551,3077.551,1.425
773,7.72,7.73,3077551,3077.551,1.425
774,7.73,7.74,1580004,1580.004,0.732
775,7.74,7.75,831343,831.343,0.385
776,7.75,7.76,831343,831.343,0.385
777,7.76,7.77,1773667,1773.667,0.821
778,7.77,7.78,3658597,3658.597,1.694
779,7.78,7.79,3658597,3658.597,1.694
780,7.79,7.8,3658597,3658.597,1.694
781,7.8,7.81,1351934,1351.934,0.626
782,7.81,7.82,1351934,1351.934,0.626
783,7.82,7.83,1351934,1351.934,0.626
784,7.83,7.84,2300255,2300.255,1.065
785,7.84,7.85,2774345,2774.345,1.285
786,7.85,7.86,2774345,2774.345,1.285
787,7.86,7.87,2071556,2071.556,0.959
788,7.87,7.88,665767,665.767,0.308
789,7.88,7.89,665767,665.767,0.308
790,7.89,7.9,665767,665.767,0.308
791,7.9,7.91,2297543,2297.543,1.064
792,7.91,7.92,2297543,2297.543,1.064
793,7.92,7.93,2297543,2297.543,1.064
794,7.93,7.94,1697959,1697.959,0.786
795,7.94,7.95,1398212,1398.212,0.647
796,7.95,7.96,1398212,1398.212,0.647
797,7.96,7.97,1831787,1831.787,0.848
798,7.97,7.98,2699067,2699.067,1.25
799,7.98,7.99,2699067,2699.067,1.25
800,7.99,8.0,2699067,2699.067,1.25
801,8.0,8.01,1024330,1024.330,0.474
802,8.01,8.02,1024330,1024.330,0.474
803,8.02,8.03,1024330,1024.330,0.474
804,8.03,8.04,2904526,2904.526,1.345
805,8.04,8.05,3844483,3844.483,1.78
806,8.05,8.06,3844483,3844.483,1.78
807,8.06,8.07,3101948,3101.948,1.436
808,8.07,8.08,1616656,1616.656,0.749
809,8.08,8.09,1616656,1616.656,0.749
810,8.09,8.1,1616656,1616.656,0.749
811,8.1,8.11,3455555,3455.555,1.6
812,8.11,8.12,3455555,3455.555,1.6
813,8.12,8.13,3455555,3455.555,1.6
814,8.13,8.14,1559589,1559.589,0.722
815,8.14,8.15,611748,611.748,0.283
816,8.15,8.16,611748,611.748,0.283
817,8.16,8.17,1457598,1457.598,0.675
818,8.17,8.18,3149551,3149.551,1.458
819,8.18,8.19,3149551,3149.551,1.458
820,8.19,8.2,3149551,3149.551,1.458
821,8.2,8.21,919209,919.209,0.426
822,8.21,8.22,919209,919.209,0.426
823,8.22,8.23,919209,919.209,0.426
824,8.23,8.24,1802257,1802.257,0.835
825,8.24,8.25,2243715,2243.715,1.039
826,8.25,8.26,2243715,2243.715,1.039
827,8.26,8.27,1699307,1699.307,0.787
828,8.27,8.28,610326,610.326,0.283
829,8.28,8.29,610326,610.326,0.283
830,8.29,8.3,610326,610.326,0.283
831,8.3,8.31,2787868,2787.868,1.291
832,8.31,8.32,2787868,2787.868,1.291
833,8.32,8.33,2787868,2787.868,1.291
834,8.33,8.34,1477213,1477.213,0.684
835,8.34,8.35,821984,821.984,0.381
836,8.35,8.36,821984,821.984,0.381
837,8.36,8.37,1392420,1392.420,0.645
838,8.37,8.38,2533465,2533.465,1.173
839,8.38,8.39,2533465,2533.465,1.173
840,8.39,8.4,2533465,2533.465,1.173
841,8.4,8.41,654007,654.007,0.303
842,8.41,8.42,654007,654.007,0.303
843,8.42,8.43,654007,654.007,0.303
844,8.43,8.44,1997394,1997.394,0.925
845,8.44,8.45,2668987,2668.987,1.236
846,8.45,8.46,2668987,2668.987,1.236
847,8.46,8.47,2085866,2085.866,0.966
848,8.47,8.48,919449,919.449,0.426
849,8.48,8.49,919449,919.449,0.426
850,8.49,8.5,919449,919.449,0.426
851,8.5,8.51,2668107,2668.107,1.236
852,8.51,8.52,2668107,2668.107,1.236
853,8.52,8.53,2668107,2668.107,1.236
854,8.53,8.54,1230410,1230.410,0.57
855,8.54,8.55,511670,511.670,0.237
856,8.55,8.56,511670,511.670,0.237
857,8.56,8.57,1166256,1166.256,0.54
858,8.57,8.58,2475625,2475.625,1.146
859,8.58,8.59,2475625,2475.625,1.146
860,8.59,8.6,2475625,2475.625,1.146
861,8.6,8.61,1075931,1075.931,0.498
862,8.61,8.62,1075931,1075.931,0.498
863,8.62,8.63,1075931,1075.931,0.498
864,8.63,8.64,2116580,2116.580,0.98
865,8.64,8.65,2636827,2636.827,1.221
866,8.65,8.66,2636827,2636.827,1.221
867,8.66,8.67,2124820,2124.820,0.984
868,8.67,8.68,1100651,1100.651,0.51
869,8.68,8.69,1100651,1100.651,0.51
870,8.69,8.7,1100651,1100.651,0.51
871,8.7,8.71,2789068,2789.068,1.292
872,8.71,8.72,2789068,2789.068,1.292
873,8.72,8.73,2789068,2789.068,1.292
874,8.73,8.74,1748981,1748.981,0.81
875,8.74,8.75,1229015,1229.015,0.569
876,8.75,8.76,1229015,1229.015,0.569
877,8.76,8.77,1923845,1923.845,0.891
878,8.77,8.78,3313713,3313.713,1.535
879,8.78,8.79,3313713,3313.713,1.535
880,8.79,8.8,3313713,3313.713,1.535
881,8.8,8.81,1022170,1022.170,0.473
882,8.81,8.82,1022170,1022.170,0.473
883,8.82,8.83,1022170,1022.170,0.473
884,8.83,8.84,2611157,2611.157,1.209
885,8.84,8.85,3405532,3405.532,1.577
886,8.85,8.86,3405532,3405.532,1.577
887,8.86,8.87,2585800,2585.800,1.197
888,8.87,8.88,946089,946.089,0.438
889,8.88,8.89,946089,946.089,0.438
890,8.89,8.9,946089,946.089,0.438
891,8.9,8.91,3437554,3437.554,1.592
892,8.91,8.92,3437554,3437.554,1.592
893,8.92,8.93,3437554,3437.554,1.592
894,8.93,8.94,1576630,1576.630,0.73
895,8.94,8.95,646307,646.307,0.299
896,8.95,8.96,646307,646.307,0.299
897,8.96,8.97,1523275,1523.275,0.705
898,8.97,8.98,3277473,3277.473,1.518
899,8.98,8.99,3277473,3277.473,1.518
900,8.99,9.0,3277473,3277.473,1.518
901,9.0,9.01,867129,867.129,0.402
902,9.01,9.02,867129,867.129,0.402
903,9.02,9.03,867129,867.129,0.402
904,9.03,9.04,1955944,1955.944,0.906
905,9.04,9.05,2500270,2500.270,1.158
906,9.05,9.06,2500270,2500.270,1.158
907,9.06,9.07,1953704,1953.704,0.905
908,9.07,9.08,860409,860.409,0.398
909,9.08,9.09,860409,860.409,0.398
910,9.09,9.1,860409,860.409,0.398
911,9.1,9.11,3141871,3141.871,1.455
912,9.11,9.12,3141871,3141.871,1.455
913,9.12,9.13,3141871,3141.871,1.455
914,9.13,9.14,1585922,1585.922,0.734
915,9.14,9.15,808064,808.064,0.374
916,9.15,9.16,808064,808.064,0.374
917,9.16,9.17,1549605,1549.605,0.718
918,9.17,9.18,3032910,3032.910,1.404
919,9.18,9.19,3032910,3032.910,1.404
920,9.19,9.2,3032910,3032.910,1.404
921,9.2,9.21,728647,728.647,0.337
922,9.21,9.22,728647,728.647,0.337
923,9.22,9.23,728647,728.647,0.337
924,9.23,9.24,2167236,2167.236,1.004
925,9.24,9.25,2886422,2886.422,1.337
926,9.25,9.26,2886422,2886.422,1.337
927,9.26,9.27,2181155,2181.155,1.01
928,9.27,9.28,770408,770.408,0.357
929,9.28,9.29,770408,770.408,0.357
930,9.29,9.3,770408,770.408,0.357
931,9.3,9.31,3011790,3011.790,1.395
932,9.31,9.32,3011790,3011.790,1.395
933,9.32,9.33,3011790,3011.790,1.395
934,9.33,9.34,1526885,1526.885,0.707
935,9.34,9.35,784544,784.544,0.363
936,9.35,9.36,784544,784.544,0.363
937,9.36,9.37,1510567,1510.567,0.7
938,9.37,9.38,2962830,2962.830,1.372
939,9.38,9.39,2962830,2962.830,1.372
940,9.39,9.4,2962830,2962.830,1.372
941,9.4,9.41,741367,741.367,0.343
942,9.41,9.42,741367,741.367,0.343
943,9.42,9.43,741367,741.367,0.343
944,9.43,9.44,2190836,2190.836,1.015
945,9.44,9.45,2915462,2915.462,1.35
946,9.45,9.46,2915462,2915.462,1.35
947,9.46,9.47,2137321,2137.321,0.99
948,9.47,9.48,580806,580.806,0.269
949,9.48,9.49,580806,580.806,0.269
950,9.49,9.5,580806,580.806,0.269
951,9.5,9.51,2719947,2719.947,1.26
952,9.51,9.52,2719947,2719.947,1.26
953,9.52,9.53,2719947,2719.947,1.26
954,9.53,9.54,1412174,1412.174,0.654
955,9.54,9.55,758385,758.385,0.351
956,9.55,9.56,758385,758.385,0.351
957,9.56,9.57,1489287,1489.287,0.69
958,9.57,9.58,2951310,2951.310,1.367
959,9.58,9.59,2951310,2951.310,1.367
960,9.59,9.6,2951310,2951.310,1.367
961,9.6,9.61,1313533,1313.533,0.608
962,9.61,9.62,1313533,1313.533,0.608
963,9.62,9.63,1313533,1313.533,0.608
964,9.63,9.64,3380129,3380.129,1.565
965,9.64,9.65,4413272,4413.272,2.044
966,9.65,9.66,4413272,4413.272,2.044
967,9.66,9.67,3326294,3326.294,1.54
968,9.67,9.68,1152012,1152.012,0.533
969,9.68,9.69,1152012,1152.012,0.533
970,9.69,9.7,1152012,1152.012,0.533
971,9.7,9.71,3489155,3489.155,1.616
972,9.71,9.72,3489155,3489.155,1.616
973,9.72,9.73,3489155,3489.155,1.616
974,9.73,9.74,1843276,1843.276,0.854
975,9.74,9.75,1020460,1020.460,0.473
976,9.75,9.76,1020460,1020.460,0.473
977,9.76,9.77,1668731,1668.731,0.773
978,9.77,9.78,2965470,2965.470,1.373
979,9.78,9.79,2965470,2965.470,1.373
980,9.79,9.8,2965470,2965.470,1.373
981,9.8,9.81,1293613,1293.613,0.599
982,9.81,9.82,1293613,1293.613,0.599
983,9.82,9.83,1293613,1293.613,0.599
984,9.83,9.84,3427731,3427.731,1.587
985,9.84,9.85,4494630,4494.630,2.081
986,9.85,9.86,4494630,4494.630,2.081
987,9.86,9.87,3418052,3418.052,1.583
988,9.87,9.88,1264573,1264.573,0.586
989,9.88,9.89,1264573,1264.573,0.586
990,9.89,9.9,1264573,1264.573,0.586
991,9.9,9.91,4180602,4180.602,1.936
992,9.91,9.92,4180602,4180.602,1.936
993,9.92,9.93,4180602,4180.602,1.936
994,9.93,9.94,6799637,6799.637,3.149
995,9.94,9.95,8108958,8108.958,3.755
996,9.95,9.96,8108958,8108.958,3.755
997,9.96,9.97,5730773,5730.773,2.654
998,9.97,9.98,973690,973.690,0.451
999,9.98,9.99,973690,973.690,0.451
1000,9.99,10.0,973690,973.690,0.451
1001,10.0,10.01,4363244,4363.244,2.021
1002,10.01,10.02,4363244,4363.244,2.021
1003,10.02,10.03,4363244,4363.244,2.021
1004,10.03,10.04,2098608,2098.608,0.972
1005,10.04,10.05,966461,966.461,0.448
1006,10.05,10.06,966461,966.461,0.448
1007,10.06,10.07,1576575,1576.575,0.73
1008,10.07,10.08,2796988,2796.988,1.295
1009,10.08,10.09,2796988,2796.988,1.295
1010,10.09,10.1,2796988,2796.988,1.295
1011,10.1,10.11,1258333,1258.333,0.583
1012,10.11,10.12,1258333,1258.333,0.583
1013,10.12,10.13,1258333,1258.333,0.583
1014,10.13,10.14,2010010,2010.010,0.931
1015,10.14,10.15,2385792,2385.792,1.105
1016,10.15,10.16,2385792,2385.792,1.105
1017,10.16,10.17,2205512,2205.512,1.021
1018,10.17,10.18,1844898,1844.898,0.854
1019,10.18,10.19,1844898,1844.898,0.854
1020,10.19,10.2,1844898,1844.898,0.854
