segment,start(s),end(s),bitrate(bps),bitrate(kbps),bitrate_norm
210,2.09,2.1,3041550,3041.550,1.408
211,2.1,2.11,996250,996.250,0.461
212,2.11,2.12,996250,996.250,0.461
213,2.12,2.13,996250,996.250,0.461
214,2.13,2.14,2366511,2366.511,1.096
215,2.14,2.15,3051539,3051.539,1.413
216,2.15,2.16,3051539,3051.539,1.413
217,2.16,2.17,2317316,2317.316,1.073
218,2.17,2.18,848648,848.648,0.393
219,2.18,2.19,848648,848.648,0.393
220,2.19,2.2,848648,848.648,0.393
221,2.2,2.21,3375634,3375.634,1.563
222,2.21,2.22,3375634,3375.634,1.563
223,2.22,2.23,3375634,3375.634,1.563
224,2.23,2.24,1788959,1788.959,0.828
225,2.24,2.25,995740,995.740,0.461
226,2.25,2.26,995740,995.740,0.461
227,2.26,2.27,1535301,1535.301,0.711
228,2.27,2.28,2614586,2614.586,1.211
229,2.28,2.29,2614586,2614.586,1.211
230,2.29,2.3,2614586,2614.586,1.211
231,2.3,2.31,1098011,1098.011,0.508
232,2.31,2.32,1098011,1098.011,0.508
233,2.32,2.33,1098011,1098.011,0.508
234,2.33,2.34,2425389,2425.389,1.123
235,2.34,2.35,3088978,3088.978,1.43
236,2.35,2.36,3088978,3088.978,1.43
237,2.36,2.37,2342036,2342.036,1.085
238,2.37,2.38,847928,847.928,0.393
239,2.38,2.39,847928,847.928,0.393
240,2.39,2.4,847928,847.928,0.393
241,2.4,2.41,3101791,3101.791,1.436
242,2.41,2.42,3101791,3101.791,1.436
243,2.42,2.43,3101791,3101.791,1.436
244,2.43,2.44,1813530,1813.530,0.84
245,2.44,2.45,1169497,1169.497,0.542
246,2.45,2.46,1169497,1169.497,0.542
247,2.46,2.47,1817850,1817.850,0.842
248,2.47,2.48,3114751,3114.751,1.442
249,2.48,2.49,3114751,3114.751,1.442
250,2.49,2.5,3114751,3114.751,1.442
251,2.5,2.51,808328,808.328,0.374
252,2.51,2.52,808328,808.328,0.374
253,2.52,2.53,808328,808.328,0.374
254,2.53,2.54,2164193,2164.193,1.002
255,2.54,2.55,2842023,2842.023,1.316
256,2.55,2.56,2842023,2842.023,1.316
257,2.56,2.57,2202669,2202.669,1.02
258,2.57,2.58,923769,923.769,0.428
259,2.58,2.59,923769,923.769,0.428
260,2.59,2.6,923769,923.769,0.428
261,2.6,2.61,2744187,2744.187,1.271
262,2.61,2.62,2744187,2744.187,1.271
263,2.62,2.63,2744187,2744.187,1.271
264,2.63,2.64,1378492,1378.492,0.638
265,2.64,2.65,695746,695.746,0.322
266,2.65,2.66,695746,695.746,0.322
267,2.66,2.67,1354574,1354.574,0.627
268,2.67,2.68,2672427,2672.427,1.238
269,2.68,2.69,2672427,2672.427,1.238
270,2.69,2.7,2672427,2672.427,1.238
271,2.7,2.71,998410,998.410,0.462
272,2.71,2.72,998410,998.410,0.462
273,2.72,2.73,998410,998.410,0.462
274,2.73,2.74,2192666,2192.666,1.015
275,2.74,2.75,2789704,2789.704,1.292
276,2.75,2.76,2789704,2789.704,1.292
277,2.76,2.77,2159789,2159.789,1.0
278,2.77,2.78,899769,899.769,0.417
279,2.78,2.79,899769,899.769,0.417
280,2.79,2.8,899769,899.769,0.417
281,2.8,2.81,3295233,3295.233,1.526
282,2.81,2.82,3295233,3295.233,1.526
283,2.82,2.83,3295233,3295.233,1.526
284,2.83,2.84,1744561,1744.561,0.808
285,2.84,2.85,969341,969.341,0.449
286,2.85,2.86,969341,969.341,0.449
287,2.86,2.87,1807595,1807.595,0.837
288,2.87,2.88,3484355,3484.355,1.614
289,2.88,2.89,3484355,3484.355,1.614
290,2.89,2.9,3484355,3484.355,1.614
291,2.9,2.91,1305373,1305.373,0.604
292,2.91,2.92,1305373,1305.373,0.604
293,2.92,2.93,1305373,1305.373,0.604
294,2.93,2.94,2873394,2873.394,1.331
295,2.94,2.95,3657287,3657.287,1.694
296,2.95,2.96,3657287,3657.287,1.694
297,2.96,2.97,2873954,2873.954,1.331
298,2.97,2.98,1307053,1307.053,0.605
299,2.98,2.99,1307053,1307.053,0.605
300,2.99,3.0,1307053,1307.053,0.605
301,3.0,3.01,3869559,3869.559,1.792
302,3.01,3.02,3869559,3869.559,1.792
303,3.02,3.03,3869559,3869.559,1.792
304,3.03,3.04,2004625,2004.625,0.928
305,3.04,3.05,1072299,1072.299,0.497
306,3.05,3.06,1072299,1072.299,0.497
307,3.06,3.07,2045422,2045.422,0.947
308,3.07,3.08,3991960,3991.960,1.849
309,3.08,3.09,3991960,3991.960,1.849
310,3.09,3.1,3991960,3991.960,1.849
311,3.1,3.11,1223772,1223.772,0.567
312,3.11,3.12,1223772,1223.772,0.567
313,3.12,3.13,1223772,1223.772,0.567
314,3.13,3.14,2870197,2870.197,1.329
315,3.14,3.15,3693286,3693.286,1.71
316,3.15,3.16,3693286,3693.286,1.71
317,3.16,3.17,2737649,2737.649,1.268
318,3.17,3.18,826088,826.088,0.383
319,3.18,3.19,826088,826.088,0.383
320,3.19,3.2,826088,826.088,0.383
321,3.2,3.21,3054031,3054.031,1.414
322,3.21,3.22,3054031,3054.031,1.414
323,3.22,3.23,3054031,3054.031,1.414
324,3.23,3.24,1696169,1696.169,0.785
325,3.24,3.25,1017340,1017.340,0.471
326,3.25,3.26,1017340,1017.340,0.471
327,3.26,3.27,1713047,1713.047,0.793
328,3.27,3.28,3104671,3104.671,1.438
329,3.28,3.29,3104671,3104.671,1.438
330,3.29,3.3,3104671,3104.671,1.438
331,3.3,3.31,779048,779.048,0.361
332,3.31,3.32,779048,779.048,0.361
333,3.32,3.33,779048,779.048,0.361
334,3.33,3.34,2293158,2293.158,1.062
335,3.34,3.35,3050099,3050.099,1.412
336,3.35,3.36,3050099,3050.099,1.412
337,3.36,3.37,2440344,2440.344,1.13
338,3.37,3.38,1220652,1220.652,0.565
339,3.38,3.39,1220652,1220.652,0.565
340,3.39,3.4,1220652,1220.652,0.565
341,3.4,3.41,3217472,3217.472,1.49
342,3.41,3.42,3217472,3217.472,1.49
343,3.42,3.43,3217472,3217.472,1.49
344,3.43,3.44,1685042,1685.042,0.78
345,3.44,3.45,918942,918.942,0.426
346,3.45,3.46,918942,918.942,0.426
347,3.46,3.47,1741997,1741.997,0.807
348,3.47,3.48,3388354,3388.354,1.569
349,3.48,3.49,3388354,3388.354,1.569
350,3.49,3.5,3388354,3388.354,1.569
351,3.5,3.51,1071851,1071.851,0.496
352,3.51,3.52,1071851,1071.851,0.496
353,3.52,3.53,1071851,1071.851,0.496
354,3.53,3.54,2210903,2210.903,1.024
355,3.54,3.55,2780344,2780.344,1.288
356,3.55,3.56,2780344,2780.344,1.288
357,3.56,3.57,2180346,2180.346,1.01
358,3.57,3.58,980170,980.170,0.454
359,3.58,3.59,980170,980.170,0.454
360,3.59,3.6,980170,980.170,0.454
361,3.6,3.61,2939069,2939.069,1.361
362,3.61,3.62,2939069,2939.069,1.361
363,3.62,3.63,2939069,2939.069,1.361
364,3.63,3.64,2006023,2006.023,0.929
365,3.64,3.65,1539569,1539.569,0.713
366,3.65,3.66,1539569,1539.569,0.713
367,3.66,3.67,2106174,2106.174,0.975
368,3.67,3.68,3239552,3239.552,1.5
369,3.68,3.69,3239552,3239.552,1.5
370,3.69,3.7,3239552,3239.552,1.5
371,3.7,3.71,1142411,1142.411,0.529
372,3.71,3.72,1142411,1142.411,0.529
373,3.72,3.73,1142411,1142.411,0.529
374,3.73,3.74,2472988,2472.988,1.145
375,3.74,3.75,3138177,3138.177,1.453
376,3.75,3.76,3138177,3138.177,1.453
377,3.76,3.77,2523304,2523.304,1.168
378,3.77,3.78,1293373,1293.373,0.599
379,3.78,3.79,1293373,1293.373,0.599
380,3.79,3.8,1293373,1293.373,0.599
381,3.8,3.81,3032190,3032.190,1.404
382,3.81,3.82,3032190,3032.190,1.404
383,3.82,3.83,3032190,3032.190,1.404
384,3.83,3.84,1639768,1639.768,0.759
385,3.84,3.85,943661,943.661,0.437
386,3.85,3.86,943661,943.661,0.437
387,3.86,3.87,1705282,1705.282,0.79
388,3.87,3.88,3228752,3228.752,1.495
389,3.88,3.89,3228752,3228.752,1.495
390,3.89,3.9,3228752,3228.752,1.495
391,3.9,3.91,1131131,1131.131,0.524
392,3.91,3.92,1131131,1131.131,0.524
393,3.92,3.93,1131131,1131.131,0.524
394,3.93,3.94,2037856,2037.856,0.944
395,3.94,3.95,2491150,2491.150,1.154
396,3.95,3.96,2491150,2491.150,1.154
397,3.96,3.97,1951704,1951.704,0.904
398,3.97,3.98,872649,872.649,0.404
399,3.98,3.99,872649,872.649,0.404
400,3.99,4.0,872649,872.649,0.404
401,4.0,4.01,2421864,2421.864,1.122
402,4.01,4.02,2421864,2421.864,1.122
403,4.02,4.03,2421864,2421.864,1.122
404,4.03,4.04,1703714,1703.714,0.789
405,4.04,4.05,1344693,1344.693,0.623
406,4.05,4.06,1344693,1344.693,0.623
407,4.06,4.07,1915695,1915.695,0.887
408,4.07,4.08,3057871,3057.871,1.416
409,4.08,4.09,3057871,3057.871,1.416
410,4.09,4.1,3057871,3057.871,1.416
411,4.1,4.11,1135211,1135.211,0.526
412,4.11,4.12,1135211,1135.211,0.526
413,4.12,4.13,1135211,1135.211,0.526
414,4.13,4.14,2366586,2366.586,1.096
415,4.14,4.15,2982180,2982.180,1.381
416,4.15,4.16,2982180,2982.180,1.381
417,4.16,4.17,2552329,2552.329,1.182
418,4.17,4.18,1692497,1692.497,0.784
419,4.18,4.19,1692497,1692.497,0.784
420,4.19,4.2,1692497,1692.497,0.784
421,4.2,4.21,2327063,2327.063,1.078
422,4.21,4.22,2327063,2327.063,1.078
423,4.22,4.23,2327063,2327.063,1.078
424,4.23,4.24,1462831,1462.831,0.677
425,4.24,4.25,1030779,1030.779,0.477
426,4.25,4.26,1030779,1030.779,0.477
427,4.26,4.27,1837357,1837.357,0.851
428,4.27,4.28,3450755,3450.755,1.598
429,4.28,4.29,3450755,3450.755,1.598
430,4.29,4.3,3450755,3450.755,1.598
431,4.3,4.31,1553056,1553.056,0.719
432,4.31,4.32,1553056,1553.056,0.719
433,4.32,4.33,1553056,1553.056,0.719
434,4.33,4.34,2406810,2406.810,1.115
435,4.34,4.35,2833623,2833.623,1.312
436,4.35,4.36,2833623,2833.623,1.312
437,4.36,4.37,2326177,2326.177,1.077
438,4.37,4.38,1311133,1311.133,0.607
439,4.38,4.39,1311133,1311.133,0.607
440,4.39,4.4,1311133,1311.133,0.607
441,4.4,4.41,3083071,3083.071,1.428
442,4.41,4.42,3083071,3083.071,1.428
443,4.42,4.43,3083071,3083.071,1.428
444,4.43,4.44,1896094,1896.094,0.878
445,4.44,4.45,1302694,1302.694,0.603
446,4.45,4.46,1302694,1302.694,0.603
447,4.46,4.47,1901053,1901.053,0.88
448,4.47,4.48,3097951,3097.951,1.435
449,4.48,4.49,3097951,3097.951,1.435
450,4.49,4.5,3097951,3097.951,1.435
451,4.5,4.51,1245132,1245.132,0.577
452,4.51,4.52,1245132,1245.132,0.577
453,4.52,4.53,1245132,1245.132,0.577
454,4.53,4.54,2151535,2151.535,0.996
455,4.54,4.55,2604668,2604.668,1.206
456,4.55,4.56,2604668,2604.668,1.206
457,4.56,4.57,2289202,2289.202,1.06
458,4.57,4.58,1658177,1658.177,0.768
459,4.58,4.59,1658177,1658.177,0.768
460,4.59,4.6,1658177,1658.177,0.768
461,4.6,4.61,2441304,2441.304,1.131
462,4.61,4.62,2441304,2441.304,1.131
463,4.62,4.63,2441304,2441.304,1.131
464,4.63,4.64,1714994,1714.994,0.794
465,4.64,4.65,1351893,1351.893,0.626
466,4.65,4.66,1351893,1351.893,0.626
467,4.66,4.67,1966971,1966.971,0.911
468,4.67,4.68,3197312,3197.312,1.481
469,4.68,4.69,3197312,3197.312,1.481
470,4.69,4.7,3197312,3197.312,1.481
471,4.7,4.71,1315693,1315.693,0.609
472,4.71,4.72,1315693,1315.693,0.609
